Kriteria,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Harga Gabah Kering Panen (GKP) (Rp/Kg),5508.3,5304.55,4844.77,4643.47,4642.19,4738.79,4716.15,4870.22,4989.91,5038.77,5211.59,5329.75,-
Harga Gabah Kering Giling (GKG) (Rp/Kg),6098.88,6094.17,5554.68,5366.65,5373.33,5467.96,5312.54,5399.9,5500.53,5567.64,5753.72,5818,-
Harga Gabah Luar Kualitas (Rp/Kg),5011.04,4843.49,4464.82,4398.35,4397.36,4367.35,4360.7,4455.77,4753.06,4782.04,4840.74,4947.56,-
Kadar Air - Gabah Kering Panen (GKP) (%),17.82,18.3,19.51,19.11,18.56,18.37,18.72,18.77,18.85,19.27,18.92,18.44,-
Kadar Air - Gabah Kering Giling (GKG) (%),12.76,12.9,12.93,12.93,13.03,12.84,12.91,13.04,12.68,12.6,12.63,12.81,-
Kadar Air - Gabah Luar Kualitas (%),24.91,26.3,26.07,25.29,23.81,23.73,25.1,25.57,25.06,25.28,25.96,24.48,-
Kadar Hampa/Kotoran - Gabah Kering Panen (GKP) (%),5.23,5.1,4.99,5.16,4.92,5.28,5.18,5.13,4.83,4.85,5.08,4.95,-
Kadar Hampa/Kotoran - Gabah Kering Giling (GKG) (%),2.36,2.21,2.34,2.38,2.29,2.25,2.33,2.36,2.26,2.21,2.31,2.3,-
Kadar Hampa/Kotoran - Gabah Luar Kualitas (%),10.07,10.37,10.57,10.08,10.95,10.75,10.45,9.87,10.86,10.9,10.24,10.5,-
Harga Pembelian Pemerintah (HPP) - Gabah Kering Panen (GKP) (Rp/Kg),3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,-
Harga Pembelian Pemerintah (HPP) - Gabah Kering Giling (GKG) (Rp/Kg),4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,-
Harga Pembelian Pemerintah (HPP) (Rp/Kg),-,-,-,-,-,-,-,-,-,-,-,-,-
