Komoditas,Tahun,Bulan,Harga
GKG Tingkat Penggilingan (Rp/Kg),2025,Juni,"7,855"
GKG Tingkat Penggilingan (Rp/Kg),2025,Juli,"7,778"
GKG Tingkat Penggilingan (Rp/Kg),2025,Agustus,"8,042"
GKG Tingkat Penggilingan (Rp/Kg),2025,September,"7,958"
GKG Tingkat Penggilingan (Rp/Kg),2025,Oktober,"7,956"
GKG Tingkat Penggilingan (Rp/Kg),2025,November,"7,869"
GKG Tingkat Penggilingan (Rp/Kg),2025,Desember,"7,953"
GKG Tingkat Penggilingan (Rp/Kg),2026,Januari,"7,980"
GKG Tingkat Penggilingan (Rp/Kg),2026,Februari,"7,954"
GKG Tingkat Penggilingan (Rp/Kg),2026,Maret,"7,936"
GKG Tingkat Penggilingan (Rp/Kg),2026,April,"7,937"
GKG Tingkat Penggilingan (Rp/Kg),2026,Mei,"8,039"
