tanggal,harga_beras
2021-09-23,10750.0
2021-09-24,10750.0
2021-09-25,10750.0
2021-09-26,10750.0
2021-09-27,10750.0
2021-09-28,10750.0
2021-09-29,10750.0
2021-09-30,10750.0
2021-10-01,10750.0
2021-10-02,10750.0
2021-10-03,10750.0
2021-10-04,10750.0
2021-10-05,10750.0
2021-10-06,10750.0
2021-10-07,10750.0
2021-10-08,10750.0
2021-10-09,10750.0
2021-10-10,10750.0
2021-10-11,10750.0
2021-10-12,10750.0
2021-10-13,10750.0
2021-10-14,10750.0
2021-10-15,10750.0
2021-10-16,10750.0
2021-10-17,10750.0
2021-10-18,10900.0
2021-10-19,10900.0
2021-10-20,10900.0
2021-10-21,10900.0
2021-10-22,10900.0
2021-10-23,10900.0
2021-10-24,10900.0
2021-10-25,10900.0
2021-10-26,10900.0
2021-10-27,10900.0
2021-10-28,10900.0
2021-10-29,10900.0
2021-10-30,10900.0
2021-10-31,10900.0
2021-11-01,10900.0
2021-11-02,10900.0
2021-11-03,10900.0
2021-11-04,10900.0
2021-11-05,10900.0
2021-11-06,10900.0
2021-11-07,10900.0
2021-11-08,10900.0
2021-11-09,10900.0
2021-11-10,10900.0
2021-11-11,10900.0
2021-11-12,10900.0
2021-11-13,10900.0
2021-11-14,10900.0
2021-11-15,10900.0
2021-11-16,10900.0
2021-11-17,10900.0
2021-11-18,10900.0
2021-11-19,10900.0
2021-11-20,10900.0
2021-11-21,10900.0
2021-11-22,10900.0
2021-11-23,10900.0
2021-11-24,10900.0
2021-11-25,10900.0
2021-11-26,10900.0
2021-11-27,10900.0
2021-11-28,10900.0
2021-11-29,10900.0
2021-11-30,10900.0
2021-12-01,10900.0
2021-12-02,10900.0
2021-12-03,10900.0
2021-12-04,10900.0
2021-12-05,10900.0
2021-12-06,10900.0
2021-12-07,10900.0
2021-12-08,10900.0
2021-12-09,10900.0
2021-12-10,10900.0
2021-12-11,10900.0
2021-12-12,10900.0
2021-12-13,10900.0
2021-12-14,10900.0
2021-12-15,10900.0
2021-12-16,10900.0
2021-12-17,10900.0
2021-12-18,10900.0
2021-12-19,10900.0
2021-12-20,10900.0
2021-12-21,10900.0
2021-12-22,10900.0
2021-12-23,10900.0
2021-12-24,10900.0
2021-12-25,10900.0
2021-12-26,10900.0
2021-12-27,11150.0
2021-12-28,11150.0
2021-12-29,11150.0
2021-12-30,11150.0
2021-12-31,11150.0
2022-01-01,11150.0
2022-01-02,11150.0
2022-01-03,11150.0
2022-01-04,11150.0
2022-01-05,11150.0
2022-01-06,11150.0
2022-01-07,11150.0
2022-01-08,11150.0
2022-01-09,11150.0
2022-01-10,11150.0
2022-01-11,11150.0
2022-01-12,11150.0
2022-01-13,11150.0
2022-01-14,11150.0
2022-01-15,11150.0
2022-01-16,11150.0
2022-01-17,11150.0
2022-01-18,11150.0
2022-01-19,11150.0
2022-01-20,11150.0
2022-01-21,11150.0
2022-01-22,11150.0
2022-01-23,11150.0
2022-01-24,11150.0
2022-01-25,11150.0
2022-01-26,11150.0
2022-01-27,11150.0
2022-01-28,11150.0
2022-01-29,11150.0
2022-01-30,11150.0
2022-01-31,11150.0
2022-02-01,11150.0
2022-02-02,11150.0
2022-02-03,11150.0
2022-02-04,11150.0
2022-02-05,11150.0
2022-02-06,11150.0
2022-02-07,11150.0
2022-02-08,11150.0
2022-02-09,11150.0
2022-02-10,11150.0
2022-02-11,11150.0
2022-02-12,11150.0
2022-02-13,11150.0
2022-02-14,11150.0
2022-02-15,11150.0
2022-02-16,11150.0
2022-02-17,11150.0
2022-02-18,11150.0
2022-02-19,11150.0
2022-02-20,11150.0
2022-02-21,11150.0
2022-02-22,11150.0
2022-02-23,11150.0
2022-02-24,11150.0
2022-02-25,11150.0
2022-02-26,11150.0
2022-02-27,11150.0
2022-02-28,11150.0
2022-03-01,11150.0
2022-03-02,11150.0
2022-03-03,11150.0
2022-03-04,11150.0
2022-03-05,11150.0
2022-03-06,11150.0
2022-03-07,11150.0
2022-03-08,11150.0
2022-03-09,11150.0
2022-03-10,11150.0
2022-03-11,11150.0
2022-03-12,11150.0
2022-03-13,11150.0
2022-03-14,11150.0
2022-03-15,11150.0
2022-03-16,11150.0
2022-03-17,11150.0
2022-03-18,11150.0
2022-03-19,11150.0
2022-03-20,11150.0
2022-03-21,11150.0
2022-03-22,11150.0
2022-03-23,11150.0
2022-03-24,11150.0
2022-03-25,11150.0
2022-03-26,11150.0
2022-03-27,11150.0
2022-03-28,11150.0
2022-03-29,11150.0
2022-03-30,11150.0
2022-03-31,11150.0
2022-04-01,11150.0
2022-04-02,11150.0
2022-04-03,11150.0
2022-04-04,11150.0
2022-04-05,11150.0
2022-04-06,11150.0
2022-04-07,11150.0
2022-04-08,11150.0
2022-04-09,11150.0
2022-04-10,11150.0
2022-04-11,11150.0
2022-04-12,11150.0
2022-04-13,11150.0
2022-04-14,11150.0
2022-04-15,11150.0
2022-04-16,11150.0
2022-04-17,11150.0
2022-04-18,11150.0
2022-04-19,11150.0
2022-04-20,11150.0
2022-04-21,11150.0
2022-04-22,11150.0
2022-04-23,11150.0
2022-04-24,11150.0
2022-04-25,11150.0
2022-04-26,11150.0
2022-04-27,11150.0
2022-04-28,11150.0
2022-04-29,11150.0
2022-04-30,11150.0
2022-05-01,11150.0
2022-05-02,11150.0
2022-05-03,11150.0
2022-05-04,11150.0
2022-05-05,11150.0
2022-05-06,11150.0
2022-05-07,11150.0
2022-05-08,11150.0
2022-05-09,11150.0
2022-05-10,11150.0
2022-05-11,11150.0
2022-05-12,11150.0
2022-05-13,11150.0
2022-05-14,11150.0
2022-05-15,11150.0
2022-05-16,11150.0
2022-05-17,11150.0
2022-05-18,11150.0
2022-05-19,11150.0
2022-05-20,11150.0
2022-05-21,11150.0
2022-05-22,11150.0
2022-05-23,11150.0
2022-05-24,11150.0
2022-05-25,11150.0
2022-05-26,11150.0
2022-05-27,11150.0
2022-05-28,11150.0
2022-05-29,11150.0
2022-05-30,11150.0
