Tanggal_Loop,Tanggal,Provinsi,Komoditas,Harga_Rp,Perubahan_Harga
2022-01-05,05 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-06,06 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-07,07 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-08,,,,,
2022-01-09,,,,,
2022-01-10,10 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-11,11 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-12,12 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-13,13 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-14,14 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-15,,,,,
2022-01-16,,,,,
2022-01-17,17 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,
2022-01-18,18 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-19,19 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-20,20 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-21,21 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-22,,,,,
2022-01-23,,,,,
2022-01-24,24 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-25,25 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-26,26 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-27,27 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-28,28 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-29,,,,,
2022-01-30,,,,,
2022-01-31,31 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-01,,,,,
2022-02-02,02 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,
2022-02-03,03 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-04,04 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-05,,,,,
2022-02-06,,,,,
2022-02-07,07 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-08,08 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-09,09 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-10,10 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-11,11 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-12,,,,,
2022-02-13,,,,,
2022-02-14,14 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-15,15 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-16,16 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-17,17 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-18,18 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-19,,,,,
2022-02-20,,,,,
2022-02-21,21 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,
2022-02-22,22 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-23,23 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-24,24 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-25,25 Feb 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-02-26,,,,,
2022-02-27,,,,,
2022-02-28,,,,,
2022-03-01,01 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,
2022-03-02,02 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-03,,,,,
2022-03-04,04 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,
2022-03-05,,,,,
2022-03-06,,,,,
2022-03-07,07 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-08,08 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-09,09 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-10,10 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-11,11 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-12,,,,,
2022-03-13,,,,,
2022-03-14,14 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-15,15 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-16,16 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-17,17 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-18,18 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-19,,,,,
2022-03-20,,,,,
2022-03-21,21 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-22,22 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-23,23 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-24,24 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-25,25 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-26,,,,,
2022-03-27,,,,,
2022-03-28,28 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-29,29 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-30,30 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-03-31,31 Mar 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-01,01 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-02,,,,,
2022-04-03,,,,,
2022-04-04,04 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,
2022-04-05,05 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-06,06 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-07,07 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-08,08 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-09,,,,,
2022-04-10,,,,,
2022-04-11,11 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-12,12 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-13,13 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-14,14 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-15,,,,,
2022-04-16,,,,,
2022-04-17,,,,,
2022-04-18,18 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,
2022-04-19,19 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-20,20 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-21,21 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-22,22 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-23,,,,,
2022-04-24,,,,,
2022-04-25,25 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-26,26 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-27,27 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-28,28 Apr 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-04-29,,,,,
2022-04-30,,,,,
2022-05-01,,,,,
2022-05-02,,,,,
2022-05-03,,,,,
2022-05-04,,,,,
2022-05-05,,,,,
2022-05-06,,,,,
2022-05-07,,,,,
2022-05-08,,,,,
2022-05-09,09 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,
2022-05-10,10 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-05-11,11 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-05-12,12 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-05-13,13 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-05-14,,,,,
2022-05-15,,,,,
2022-05-16,,,,,
2022-05-17,17 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,
2022-05-18,18 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-05-19,19 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-05-20,20 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-05-21,,,,,
2022-05-22,,,,,
2022-05-23,23 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-05-24,24 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-05-25,25 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-05-26,,,,,
2022-05-27,27 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,
2022-05-28,,,,,
2022-05-29,,,,,
2022-05-30,30 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-05-31,31 Mei 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-01,,,,,
2022-06-02,02 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,
2022-06-03,03 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-04,,,,,
2022-06-05,,,,,
2022-06-06,06 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-07,07 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-08,08 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-09,09 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-10,10 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-11,,,,,
2022-06-12,,,,,
2022-06-13,13 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-14,14 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-15,15 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-16,16 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-17,17 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-18,,,,,
2022-06-19,,,,,
2022-06-20,20 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-21,21 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-22,22 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-23,23 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-24,24 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-25,,,,,
2022-06-26,,,,,
2022-06-27,27 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-28,28 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-29,29 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-06-30,30 Jun 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-01,01 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-02,,,,,
2022-07-03,,,,,
2022-07-04,04 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-05,05 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-06,06 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-07,07 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-08,08 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-09,,,,,
2022-07-10,,,,,
2022-07-11,11 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-12,12 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-13,13 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-14,14 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-15,15 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-16,,,,,
2022-07-17,,,,,
2022-07-18,18 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-19,19 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-20,20 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-21,21 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-22,22 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-23,,,,,
2022-07-24,,,,,
2022-07-25,25 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-26,26 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-27,27 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-28,28 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-29,29 Jul 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-07-30,,,,,
2022-07-31,,,,,
2022-08-01,01 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-02,02 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-03,03 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-04,04 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-05,05 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-06,,,,,
2022-08-07,,,,,
2022-08-08,08 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-09,09 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-10,10 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-11,11 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-12,12 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-13,,,,,
2022-08-14,,,,,
2022-08-15,15 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-16,16 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-17,,,,,
2022-08-18,18 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,
2022-08-19,19 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-20,,,,,
2022-08-21,,,,,
2022-08-22,22 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-23,23 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-24,24 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-25,25 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-26,26 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-27,,,,,
2022-08-28,,,,,
2022-08-29,29 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-30,30 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-08-31,31 Agt 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-09-01,01 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-09-02,02 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-09-03,,,,,
2022-09-04,,,,,
2022-09-05,05 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-09-06,06 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-09-07,07 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-09-08,08 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-09-09,09 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-09-10,,,,,
2022-09-11,,,,,
2022-09-12,12 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-09-13,13 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp250
2022-09-14,14 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-09-15,15 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-09-16,16 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-09-17,,,,,
2022-09-18,,,,,
2022-09-19,19 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-09-20,20 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-09-21,21 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-09-22,22 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-09-23,23 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-09-24,,,,,
2022-09-25,,,,,
2022-09-26,26 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-09-27,27 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-09-28,28 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-09-29,29 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-09-30,30 Sep 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-01,,,,,
2022-10-02,,,,,
2022-10-03,03 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-04,04 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-05,05 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-06,06 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-07,07 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-08,,,,,
2022-10-09,,,,,
2022-10-10,10 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-11,11 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-12,12 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-13,13 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-14,14 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-15,,,,,
2022-10-16,,,,,
2022-10-17,17 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-18,18 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-19,19 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-20,20 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-21,21 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-22,,,,,
2022-10-23,,,,,
2022-10-24,24 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-25,25 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-26,26 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-27,27 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-28,28 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-10-29,,,,,
2022-10-30,,,,,
2022-10-31,31 Okt 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-11-01,01 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-11-02,02 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-11-03,03 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-11-04,04 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-11-05,,,,,
2022-11-06,,,,,
2022-11-07,07 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,
2022-11-08,08 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-11-09,09 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-11-10,10 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-11-11,11 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2022-11-12,,,,,
2022-11-13,,,,,
2022-11-14,14 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp250
2022-11-15,15 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2022-11-16,16 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2022-11-17,17 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2022-11-18,18 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2022-11-19,,,,,
2022-11-20,,,,,
2022-11-21,21 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2022-11-22,22 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2022-11-23,23 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2022-11-24,24 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2022-11-25,25 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2022-11-26,,,,,
2022-11-27,,,,,
2022-11-28,28 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2022-11-29,29 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2022-11-30,30 Nov 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2022-12-01,01 Des 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2022-12-02,02 Des 22,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2022-12-03,,,,,
2022-12-04,,,,,
2022-12-05,05 Des 22,DI Yogyakarta,Beras Kualitas Medium II,11900.0,Rp250
2022-12-06,06 Des 22,DI Yogyakarta,Beras Kualitas Medium II,11900.0,Rp0
2022-12-07,07 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp350
2022-12-08,08 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-09,09 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-10,,,,,
2022-12-11,,,,,
2022-12-12,12 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-13,13 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-14,14 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-15,15 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-16,16 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-17,,,,,
2022-12-18,,,,,
2022-12-19,19 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-20,20 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-21,21 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-22,22 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-23,23 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-24,,,,,
2022-12-25,,,,,
2022-12-26,26 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-27,27 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-28,28 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-29,29 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-30,30 Des 22,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2022-12-31,,,,,
2023-01-01,,,,,
2023-01-02,02 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2023-01-03,03 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2023-01-04,04 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2023-01-05,05 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2023-01-06,06 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2023-01-07,,,,,
2023-01-08,,,,,
2023-01-09,09 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2023-01-10,10 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2023-01-11,11 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2023-01-12,12 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2023-01-13,13 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2023-01-14,,,,,
2023-01-15,,,,,
2023-01-16,16 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12500.0,Rp250
2023-01-17,17 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12500.0,Rp0
2023-01-18,18 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12500.0,Rp0
2023-01-19,19 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12500.0,Rp0
2023-01-20,20 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12500.0,Rp0
2023-01-21,,,,,
2023-01-22,,,,,
2023-01-23,23 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12500.0,Rp0
2023-01-24,24 Jan 23,DI Yogyakarta,Beras Kualitas Medium II,12500.0,Rp0
