Tanggal_Loop,Tanggal,Provinsi,Komoditas,Harga_Rp,Perubahan_Harga
2021-03-29,29 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-30,30 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-31,31 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-04-01,01 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-04-02,,,,,
2021-04-03,,,,,
2021-04-04,,,,,
2021-04-05,05 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,
2021-04-06,06 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-04-07,07 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-04-08,08 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-04-09,09 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-04-10,,,,,
2021-04-11,,,,,
2021-04-12,12 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-04-13,13 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-04-14,14 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-04-15,15 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-04-16,16 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-04-17,,,,,
2021-04-18,,,,,
2021-04-19,19 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,
2021-04-20,20 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-04-21,21 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-04-22,22 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-04-23,23 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-04-24,,,,,
2021-04-25,,,,,
2021-04-26,26 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-04-27,27 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-04-28,28 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-04-29,29 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-04-30,30 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-01,,,,,
2021-05-02,,,,,
2021-05-03,03 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-04,04 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-05,05 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-06,06 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-07,07 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-08,,,,,
2021-05-09,,,,,
2021-05-10,10 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-11,11 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-12,,,,,
2021-05-13,,,,,
2021-05-14,,,,,
2021-05-15,,,,,
2021-05-16,,,,,
2021-05-17,17 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,
2021-05-18,18 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-19,19 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-20,20 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-21,21 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-22,,,,,
2021-05-23,,,,,
2021-05-24,24 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-25,25 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-26,,,,,
2021-05-27,27 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,
