tanggal,tahun,bulan,lebaran,harga_beras,harga_gkg,curah_hujan,produksi_padi,inflasi_pangan
2024-01-01,2024,1,0,13980.65,7845.0,391.90,24930.09,-0.12
2024-02-01,2024,2,0,15158.62,8204.0,287.70,16033.08,1.17
2024-03-01,2024,3,0,15287.10,7968.0,303.90,54411.27,1.23
2024-04-01,2024,4,1,15150.00,7142.0,312.80,133258.44,-0.70
2024-05-01,2024,5,0,14883.87,6973.0,135.50,54914.94,-0.27
2024-06-01,2024,6,0,14000.00,7087.0,53.90,27408.85,-1.07
2024-07-01,2024,7,0,14000.00,7284.0,44.00,41861.47,-0.65
2024-08-01,2024,8,0,14000.00,7374.0,25.90,32500.22,-0.56
2024-09-01,2024,9,0,14000.00,7400.0,86.00,25680.71,-0.42
2024-10-01,2024,10,0,14000.00,7381.0,110.60,16247.31,0.33
2024-11-01,2024,11,0,13936.67,7320.0,384.40,17335.69,0.55
2024-12-01,2024,12,0,13900.00,7398.0,381.60,8249.7,1.35
2025-01-01,2025,1,0,13900.00,7577.0,266.60,35465.86,2.24
2025-02-01,2025,2,0,13900.00,7660.0,280.00,120952.63,0
2025-03-01,2025,3,1,14133.87,7720.0,262.80,90075.92,0.78
2025-04-01,2025,4,0,14150.00,7656.0,212.30,54072.56,-0.02
2025-05-01,2025,5,0,14150.00,7717.0,406.90,30314.74,-0.78
2025-06-01,2025,6,0,14191.67,7855.0,166.40,65598.6,0.62
2025-07-01,2025,7,0,14400.00,7778.0,66.20,43050.37,-0.19
2025-08-01,2025,8,0,14400.00,8042.0,128.80,38641.79,-0.90
2025-09-01,2025,9,0,14208.33,7958.0,159.90,14731.58,0.21
2025-10-01,2025,10,0,14150.00,7956.0,345.90,19535.08,0.53
2025-11-01,2025,11,0,14150.00,7869.0,408.90,19298.89,0.77
2025-12-01,2025,12,0,14150.00,7953.0,193.00,15772.08,1.66
2026-01-01,2026,1,0,14150.00,7980.0,331.20,34838.06,-1.54
2026-02-01,2026,2,0,14150.00,7954.0,304.00,134550.85,1.35
2026-03-01,2026,3,1,14150.00,7936.0,259.20,103530.81,1.05
2026-04-01,2026,4,0,14150.00,7937.0,248.00,46822.79,-0.19
2026-05-01,2026,5,0,14150.00,8039.0,134.90,38787.67,-0.21
